team,base,average_aika,average_eteneminen,week
2008,1,4.3639970000000174000,4.7719962000001942000,26
2008,3,5.4999980000002320000,5.7999960000001920000,26
2008,2,4.1349967500000275000,4.5394047499999032500,26
2004,2,3.9533329999999296667,4.2599989999998800000,26
2004,1,4.1511100000002443333,4.4044425555555588889,26
2004,3,5.3639999999998510000,5.6879989999995816000,26
2012,1,3.9999989999997623333,4.3511098888887621111,26
2006,2,3.7791335384617923846,4.0929793076924608462,27
2010,1,3.9997634615385950769,4.3459160000000756923,27
2010,2,3.8704223636365938182,4.1440264545456102727,27
2006,1,3.9094499999999545833,4.3311150833333537500,27
2010,3,5.2589628000001766000,5.9829581999998254000,27
2011,2,3.9073662105263338947,4.2147332105262314211,27
2011,1,4.0399989999998730909,4.3672707272726670000,27
2002,2,4.1365920000002006000,4.3605906000001596000,27
2008,2,4.0357654166667392083,4.4257642083333242917,27
2004,3,5.3441233636362581818,5.9695754545454376364,27
2008,3,5.2977744444443586667,6.1577709999997851111,27
2004,2,4.0634870769230333846,4.4604085384615140769,27
2004,1,4.1477554545453004545,4.5150274545452371818,27
2003,3,5.2026976999999988000,6.0226958000001106000,27
2013,1,4.1772617000001901000,4.5712610000002314000,27
2003,1,4.0136493333331903333,4.3534690999998777667,27
2003,2,3.8958323157895441053,4.2800421052632996316,27
2013,2,4.0647736666665475556,4.5047725555553168889,27
2013,3,5.3247831250000672500,5.9322821250000288750,27
2007,1,3.9272705454544104545,4.2218158181813124545,27
2009,2,4.0587596666667497778,4.4787583333332905556,27
2007,2,3.9381797272725924545,4.3199979090908196364,27
2007,3,4.9733303333330998333,5.5099970000000363333,27
2009,1,4.1447715714285291429,4.5419131428572785714,27
2001,2,3.9662926666668073333,4.3896246666668805000,27
2006,3,5.0640179999999193750,5.4215169999999376250,27
2001,1,4.0565705833332308333,4.5243095833333200833,27
2001,3,5.2004572499997722500,6.1054562499999747500,27
2011,3,5.0299996666665265000,5.4133311666663908333,27
2012,3,5.3266663333332266667,5.8399993333335563333,27
2012,1,4.0828549999998488571,4.5085679999998710000,27
2012,2,4.0399996666667070000,4.4499981666667358333,27
2002,1,4.0175550000000536667,4.2975543333335130000,27
2002,3,5.2300742727273824545,6.2264323636365837273,27
2009,3,5.6204159999995225000,6.1804144999997560000,27
2008,1,4.1966645000000730000,4.5999971666668293333,27
2005,3,5.2635712631579161053,5.9077794210524381053,27
2005,2,3.9141867333331902000,4.2155193333332439333,27
2005,1,4.0717563000000609000,4.4137553000000479000,27
2007,2,3.8986794000000032500,4.2869964500000038000,28
2004,1,4.2043762222223348889,4.4643747777779228889,28
2004,2,4.0125882307691848462,4.3433566923076098462,28
2007,1,4.0491285789473750526,4.4133371578947941053,28
2004,3,5.1916770000002542500,6.1216762500000640000,28
2003,3,5.1949997500000792500,5.4599987500001817500,28
2003,2,3.9733324666666550667,4.3106639333333835333,28
2009,2,4.1327619999999317778,4.5883162222222988889,28
2003,1,4.0779993500000160000,4.3259981500001118000,28
2009,3,5.1860075999997210000,5.9420072000003530000,28
2009,1,4.1731838333334965000,4.5831828333336188333,28
2006,2,3.8453524615386136154,4.2468899230769310000,28
2006,1,3.9531731818181219091,4.3749900909090229091,28
2006,3,5.1818460999999617000,6.2261753999999884000,28
2001,2,3.9672417692308953077,4.3303171538461635385,28
2001,3,5.2321192727273559091,5.9830261818183729091,28
2001,1,4.1483062727269581818,4.5083048181815932727,28
2010,3,5.0486507142856811429,5.8986464285712827857,28
2011,2,3.8859747777777960000,4.3326398888889595556,28
2011,1,4.0839957999999570000,4.4479935999998818000,28
2010,1,4.1131261111112406667,4.4486806666666577778,28
2011,3,4.8899974999994810000,6.3899954999994860000,28
2010,2,4.1106834166666316667,4.7918390833332485000,28
2005,1,4.0696219999999811818,4.4441647272726848182,28
2005,2,3.8092270909092308636,4.1474076363637820455,28
2002,2,3.9939977999999883000,4.3639967000000525000,28
2002,1,4.0249975000001542500,4.4349960000001827500,28
2012,2,3.9399973333329400000,4.3333306666660673333,28
2012,1,4.1399999999994180000,4.7000000000007280000,28
2008,1,4.1924732499995795000,4.5074725000000625000,28
2008,2,4.1921586000000390000,4.6201568000000408000,28
